# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿id,course,topic,level,question,option1,option2,option3,option4,answer_index
os_linux -cybersecurtiy_1,,os_linux -cybersecurtiy,1,What is the primary purpose of an operating system?,To edit videos,To manage hardware and software resources,To connect to the internet,"To write code
",1
os_linux -cybersecurtiy_2,,os_linux -cybersecurtiy,1,Which of the following is NOT an operating system?,Linux,Windows,Google Chrome,"macOS
",2
os_linux -cybersecurtiy_3,,os_linux -cybersecurtiy,1,What does “OS” stand for?,Open Source,Operation System,Operating System,"Output Software
",2
os_linux -cybersecurtiy_4,,os_linux -cybersecurtiy,1,Linux is based on which of the following?,UNIX,Windows kernel,iOS,"Android
",0
os_linux -cybersecurtiy_5,,os_linux -cybersecurtiy,1,What is the symbol for the home directory in Linux?,/root,/home,~,"/usr
",2
os_linux -cybersecurtiy_6,,os_linux -cybersecurtiy,1,Which command lists files in a directory in Linux?,dir,list,show,"ls
",3
os_linux -cybersecurtiy_7,,os_linux -cybersecurtiy,1,Which key combination is used to stop a running process in Linux terminal?,Ctrl + C,Ctrl + P,Ctrl + Z,"Ctrl + X
",0
os_linux -cybersecurtiy_8,,os_linux -cybersecurtiy,1,What is the default shell in most Linux distributions?,PowerShell,Bash,Command Prompt,"Fish
",1
os_linux -cybersecurtiy_9,,os_linux -cybersecurtiy,1,Which command is used to print the current working directory?,pwd,dir,cd,"path
",0
os_linux -cybersecurtiy_10,,os_linux -cybersecurtiy,1,The file that stores user passwords in Linux is:,/etc/passwords,/usr/passwords,/etc/passwd,"/var/pass
",2
os_linux -cybersecurtiy_11,,os_linux -cybersecurtiy,1,Which command is used to create a new directory?,mkdir,newdir,createdir,"makedir
",0
os_linux -cybersecurtiy_12,,os_linux -cybersecurtiy,1,Which file permission means the file can be executed?,r,w,e,"x
",3
os_linux -cybersecurtiy_13,,os_linux -cybersecurtiy,1,The Linux command to shut down the system is:,stop,end,shutdown,"close
",2
os_linux -cybersecurtiy_14,,os_linux -cybersecurtiy,1,Which Linux directory stores system configuration files?,/etc,/sys,/home,"/usr
",0
os_linux -cybersecurtiy_15,,os_linux -cybersecurtiy,1,Who is the “superuser” in Linux?,admin,root,user1,"guest
",1
os_linux -cybersecurtiy_16,,os_linux -cybersecurtiy,2,Which command is used to view running processes?,ps,proc,tasklist,"listproc
",0
os_linux -cybersecurtiy_17,,os_linux -cybersecurtiy,2,What does the “chmod” command do?,Change user password,Change file permissions,Move files,"Display memory usage
",1
os_linux -cybersecurtiy_18,,os_linux -cybersecurtiy,2,Which command is used to switch users in Linux?,su,chuser,switch,"useradd
",0
os_linux -cybersecurtiy_19,,os_linux -cybersecurtiy,2,The “grep” command is used for:,File compression,Searching text patterns,Viewing disk usage,"Listing files
",1
os_linux -cybersecurtiy_20,,os_linux -cybersecurtiy,2,What does “pwd” stand for?,Pathway Directory,Password Data,Present Working Data,"Print Working Directory
",3
os_linux -cybersecurtiy_21,,os_linux -cybersecurtiy,2,Which command shows disk usage statistics?,du,diskinfo,df,"ls -d
",2
os_linux -cybersecurtiy_22,,os_linux -cybersecurtiy,2,The process ID (PID) in Linux uniquely identifies:,A directory,A file,A running process,A user,2
os_linux -cybersecurtiy_23,,os_linux -cybersecurtiy,2,Which command shows the top resource-consuming processes?,usage,cpu,ps -a,"top
",3
os_linux -cybersecurtiy_24,,os_linux -cybersecurtiy,2,The default directory for user home folders is:,/root,/users,/home,"/etc
",2
os_linux -cybersecurtiy_25,,os_linux -cybersecurtiy,2,Which Linux command displays the contents of a file page by page?,cat,open,view,"less
",3
os_linux -cybersecurtiy_26,,os_linux -cybersecurtiy,2,The command sudo allows a user to:,Delete system files,Run commands as the superuser,Start GUI mode,"Install applications
",1
os_linux -cybersecurtiy_27,,os_linux -cybersecurtiy,2,Which directory typically contains system logs?,/etc,/usr,/var/log,/tmp,2
os_linux -cybersecurtiy_28,,os_linux -cybersecurtiy,2,What does “kill -9 PID” do?,Pause the process,Stop the process immediately,Restart the process,"Monitor process usage
",1
os_linux -cybersecurtiy_29,,os_linux -cybersecurtiy,2,The “tar” command is used to:,Archive files,Remove files,Encrypt data,"Compile programs
",0
os_linux -cybersecurtiy_30,,os_linux -cybersecurtiy,2,The command whoami outputs:,Current working directory,System hostname,Current logged-in user,"Shell type
",2
os_linux -cybersecurtiy_31,,os_linux -cybersecurtiy,3,What does the /etc/hosts file store?,User credentials,IP–Hostname mappings,Log files,"Firewall rules
",1
os_linux -cybersecurtiy_32,,os_linux -cybersecurtiy,3,Which command checks network connectivity?,connect,ping,trace,"nettest
",1
