# -------------------------------------------------------,,,,,,,,,,,
# ---- CSV created by:  mightymerge.io                   ,,,,,,,,,,,
# -------------------------------------------------------,,,,,,,,,,,
,,,,,,,,,,,
id,course,topic,level,question,option1,option2,option3,option4,answer_index,,
Stati_1,,Stati,1,What is the average of a set of numbers called?,Median,Mode,Mean,Range,2,,
Stati_2,,Stati,1,What is the middle value in a sorted list of numbers called?,Median,Mode,Mean,Range,0,,
Stati_3,,Stati,1,What is the most frequent number in a list called?,Median,Mode,Mean,Range,1,,
Stati_4,,Stati,1,"If you flip a coin, what is the chance of getting heads?",0%,25%,50%,100%,2,,
Stati_5,,Stati,1,What type of chart uses bars to show data?,Pie Chart,Line Graph,Bar Chart,Scatter Plot,2,,
Stati_6,,Stati,1,"What is the range of the numbers: [2, 4, 6, 8]?",4,5,6,20,2,,
Stati_7,,Stati,1,"If something is certain to happen, its probability is:",0,0.5,1,10,2,,
Stati_8,,Stati,1,"What type of graph shows how data is distributed and has a ""box"" in the middle?",Histogram,Box Plot,Bar Chart,Pie Chart,1,,
Stati_9,,Stati,1,The entire group you are interested in studying is called the:,Sample,Population,Survey,Data,1,,
Stati_10,,Stati,1,"What is the mean of [5, 10, 15]?",10,15,30,5,0,,
Stati_11,,Stati,1,Probability can never be:,A decimal,A fraction,Negative,Positive,2,,
Stati_12,,Stati,1,"What is the mode of [1, 1, 2, 3, 4]?",1,2,3,4,0,,
Stati_13,,Stati,1,A graph that shows the relationship between two number variables is called a:,Bar Chart,Histogram,Scatter Plot,Pie Chart,2,,
Stati_14,,Stati,1,A small group selected from a population is called a:,Sample,Statistic,Parameter,Model,0,,
Stati_15,,Stati,2,Which of these is a measure of how spread out the data is?,Mean,Median,Mode,Range,3,,
Stati_16,,Stati,2,"What is the median of [1, 3, 5, 7, 9]?",3,5,7,9,1,,
Stati_17,,Stati,2,"If the chance of rain is 30%, what is the chance it will NOT rain?",30%,70%,100%,0%,1,,
Stati_18,,Stati,2,"In a normal ""bell curve"" distribution, most of the data is located:",In the tails,In the middle,On the left side,On the right side,1,,
Stati_19,,Stati,2,A larger standard deviation means the data is:,More spread out,Tightly clustered together,More accurate,Skewed,0,,
Stati_20,,Stati,2,"If you roll a die, what is the probability of rolling a 1 or a 2?",1-Jun,2-Jun,1-Mar,Both b and c,3,,
Stati_21,,Stati,2,"What is the range of [10, 20, 30, 40]?",10,20,30,40,2,,
Stati_22,,Stati,2,"What is the mean of [2, 4, 6, 8]?",4,5,6,20,1,,
Stati_23,,Stati,2,"In a box plot, the ""box"" shows the middle ______% of the dat",,25,50,"75
d) 100",1,,
Stati_24,,Stati,2,"If two events cannot happen at the same time, they are called:",Independent,Mutually Exclusive,Dependent,Certain,1,,
Stati_25,,Stati,2,"Which of these is a measure of the ""center"" of data?",Standard Deviation,Variance,Range,Median,3,,
Stati_26,,Stati,2,"What is the median of [5, 2, 9, 1, 5]?",2,5,9,4.4,1,,
Stati_27,,Stati,2,"If a test is very reliable and gives the same result every time, it has high:",Validity,Reliability,Accuracy,Bias,1,,
Stati_28,,Stati,2,"What is the mode of [7, 8, 8, 9, 10]?",7,8,9,10,1,,
Stati_29,,Stati,2,A correlation of +0.9 suggests a:,Strong positive relationship,Strong negative relationship,Weak relationship,No relationship,0,,
Stati_30,,Stati,2,What is the probability of drawing a heart from a full deck of cards?,Jan-52,13-Jan,1-Apr,1-Feb,2,,
Stati_31,,Stati,3,A p-value helps you decide whether to:,Accept the null hypothesis,Reject the null hypothesis,Change your experiment,Use a different graph,1,,
Stati_32,,Stati,3,A null hypothesis usually states that:,There is an effect,There is no effect or no difference,The experiment was a success,The data is normal,1,,
Stati_33,,Stati,3,"If a confidence interval for a mean is (45, 55), the sample mean is likely close to:",45,50,55,100,1,,
Stati_34,,Stati,3,"The Central Limit Theorem says that with a large sample size, the distribution of
sample means will be:",Skewed,Uniform,Approximately Normal,Bimodal,2,,
Stati_35,,Stati,3,"In the equation y = mx + b, which part is the slope?",y,m,x,b,1,,
Stati_36,,Stati,3,A t-test is commonly used to compare:,The medians of three groups,The means of two groups,The correlation between two variables,The categories of a variable,1,,
Stati_37,,Stati,3,"If a 95% confidence interval is wide, it means:",The estimate is very precise,The estimate is very imprecise,The sample size is large,The p-value is small,1,,
Stati_38,,Stati,3,Correlation measures:,Causation,The strength and direction of a linear relationship,The difference between groups,The central tendency,1,,
